"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"5548","Rypticus subbifrenatus","Rypticus","Serranidae","Perciformes","Teleostei","Gill, 1861","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.18,13.5
"5549","Schultzea beta","Schultzea","Serranidae","Perciformes","Teleostei","(Hildebrand, 1940)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,62.5
"5550","Serraniculus pumilio","Serraniculus","Serranidae","Perciformes","Teleostei","Ginsburg, 1952","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.075,27.5
"5551","Serranus annularis","Serranus","Serranidae","Perciformes","Teleostei","(G<fc>nther, 1880)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.09,40
"5552","Serranus chionaraia","Serranus","Serranidae","Perciformes","Teleostei","Robins &amp; Starck, 1961","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05,67.5
"5553","Serranus flaviventris","Serranus","Serranidae","Perciformes","Teleostei","(Cuvier, 1829)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08,202
"5554","Serranus luciopercanus","Serranus","Serranidae","Perciformes","Teleostei","Poey, 1852","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.12,NA
"5555","Serranus notospilus","Serranus","Serranidae","Perciformes","Teleostei","Longley, 1935","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,118.5
"5556","Serranus phoebe","Serranus","Serranidae","Perciformes","Teleostei","Poey, 1851","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,213.5
"5557","Serranus tabacarius","Serranus","Serranidae","Perciformes","Teleostei","(Cuvier, 1829)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.22,37
"5558","Serranus tortugarum","Serranus","Serranidae","Perciformes","Teleostei","Longley, 1935","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.08,204
"5559","Peprilus burti","Peprilus","Stromateidae","Perciformes","Teleostei","Fowler, 1944","1",0.5,1.4,14.6989,19,NA,4,NA,"benthopelagic",0.25,NA
"5560","Symphysanodon berryi","Symphysanodon","Symphysanodontidae","Perciformes","Teleostei","Anderson, 1970","1",0.7,2,24.05483,30,NA,NA,202.1999969,"bathydemersal",0.13,NA
"5561","Kathetostoma cubana","Kathetostoma","Uranoscopidae","Perciformes","Teleostei","Barbour, 1941","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3,400
"5562","Gymnachirus melas","Gymnachirus","Achiridae","Pleuronectiformes","Teleostei","Nichols, 1916","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.22,36.5
"5563","Gymnachirus nudus","Gymnachirus","Achiridae","Pleuronectiformes","Teleostei","Kaup, 1858","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,68.5
"5564","Trinectes inscriptus","Trinectes","Achiridae","Pleuronectiformes","Teleostei","(Gosse, 1851)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.15,NA
"5565","Engyophrys senta","Engyophrys","Bothidae","Pleuronectiformes","Teleostei","Ginsburg, 1933","1",1.4,4.2,61.2499,66,NA,NA,NA,"demersal",0.1,NA
"5566","Monolene atrimana","Monolene","Bothidae","Pleuronectiformes","Teleostei","Goode &amp; Bean, 1886","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,NA
"5567","Monolene megalepis","Monolene","Bothidae","Pleuronectiformes","Teleostei","Woods, 1961","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"5568","Monolene sessilicauda","Monolene","Bothidae","Pleuronectiformes","Teleostei","Goode, 1880","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.18,350
"5569","Trichopsetta caribbaea","Trichopsetta","Bothidae","Pleuronectiformes","Teleostei","Anderson &amp; Gutherz, 1967","1",2.1,7.2,11.9,33,NA,NA,NA,"demersal",0.18,NA
"5570","Symphurus arawak","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Robins &amp; Randall, 1965","1",0.8,2,7.4938,26,NA,NA,NA,"reef-associated",0.051,NA
"5571","Symphurus billykrietei","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Munroe, 1998","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1189999962,349
"5572","Symphurus caribbeanus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Munroe, 1991","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.13,19.5
"5573","Symphurus diomedeanus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","(Goode &amp; Bean, 1885)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.22,134.5
"5574","Symphurus minor","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Ginsburg, 1951","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.09,94
"5575","Symphurus ommaspilus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","B<f6>hlke, 1961","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.04300000191,14
"5576","Symphurus parvus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Ginsburg, 1951","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.09,65
"5577","Symphurus pelicanus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Ginsburg, 1951","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.09,78.5
