"","db","query","class","order","family","genus"
"12823","itis","Aspasma minima","Teleostei","Perciformes","Gobiesocidae","Aspasma"
"12824","itis","Aspasmichthys alorensis",NA,NA,NA,NA
"12825","itis","Aspasmichthys ciconiae","Teleostei","Perciformes","Gobiesocidae","Aspasmichthys"
"12826","itis","Aspasmogaster costata","Teleostei","Perciformes","Gobiesocidae","Aspasmogaster"
"12827","itis","Aspasmogaster liorhynchus",NA,NA,NA,NA
"12828","itis","Aspasmogaster occidentalis","Teleostei","Perciformes","Gobiesocidae","Aspasmogaster"
"12829","itis","Aspasmogaster tasmaniensis","Teleostei","Perciformes","Gobiesocidae","Aspasmogaster"
"12830","itis","Aspidophoroides olrikii",NA,NA,NA,NA
"12831","itis","Aspistor hardenbergi","Teleostei","Siluriformes","Ariidae","Aspistor"
"12832","itis","Aspistor quadriscutis","Teleostei","Siluriformes","Ariidae","Aspistor"
"12833","itis","Asquamiceps longmani","Teleostei","Osmeriformes","Alepocephalidae","Asquamiceps"
"12834","itis","Asquamiceps velaris","Teleostei","Osmeriformes","Alepocephalidae","Asquamiceps"
"12835","itis","Assessor flavissimus","Teleostei","Perciformes","Plesiopidae","Assessor"
"12836","itis","Assessor macneilli","Teleostei","Perciformes","Plesiopidae","Assessor"
"12837","itis","Assessor randalli","Teleostei","Perciformes","Plesiopidae","Assessor"
"12838","itis","Assiculoides desmonotus","Teleostei","Perciformes","Pseudochromidae","Assiculoides"
"12839","itis","Assiculus punctatus","Teleostei","Perciformes","Pseudochromidae","Assiculus"
"12840","itis","Assurger anzac","Teleostei","Perciformes","Trichiuridae","Assurger"
"12841","itis","Asterropteryx atripes","Teleostei","Perciformes","Gobiidae","Asterropteryx"
"12842","itis","Asterropteryx bipunctata","Teleostei","Perciformes","Gobiidae","Asterropteryx"
"12843","itis","Asterropteryx ovata",NA,NA,NA,NA
"12844","itis","Asterropteryx striata","Teleostei","Perciformes","Gobiidae","Asterropteryx"
"12845","itis","Asthenomacrurus fragilis","Teleostei","Gadiformes","Macrouridae","Asthenomacrurus"
"12846","itis","Asthenomacrurus victoris","Teleostei","Gadiformes","Macrouridae","Asthenomacrurus"
"12847","itis","Astrabe flavimaculata","Teleostei","Perciformes","Gobiidae","Astrabe"
"12848","itis","Astrabe lactisella","Teleostei","Perciformes","Gobiidae","Astrabe"
"12849","itis","Astrocottus leprops","Teleostei","Scorpaeniformes","Cottidae","Astrocottus"
"12850","itis","Astrocottus matsubarae","Teleostei","Scorpaeniformes","Cottidae","Astrocottus"
"12851","itis","Astrocottus oyamai","Teleostei","Scorpaeniformes","Cottidae","Astrocottus"
"12852","itis","Astrocottus regulus",NA,NA,NA,NA
"12853","itis","Astronesthes formosanus",NA,NA,NA,NA
"12854","itis","Astroscopus ygraecum",NA,NA,NA,NA
"12855","itis","Ateleopus natalensis","Teleostei","Ateleopodiformes","Ateleopodidae","Ateleopus"
"12856","itis","Ateleopus purpureus","Teleostei","Ateleopodiformes","Ateleopodidae","Ateleopus"
"12857","itis","Ateleopus tanabensis","Teleostei","Ateleopodiformes","Ateleopodidae","Ateleopus"
"12858","itis","Atherina breviceps","Teleostei","Atheriniformes","Atherinidae","Atherina"
"12859","itis","Atherinason hepsetoides","Teleostei","Atheriniformes","Atherinidae","Atherinason"
"12860","itis","Atherinella chagresi","Teleostei","Atheriniformes","Atherinopsidae","Atherinella"
"12861","itis","Atherinella pallida","Teleostei","Atheriniformes","Atherinopsidae","Atherinella"
"12862","itis","Atherinomorus endrachtensis","Teleostei","Atheriniformes","Atherinidae","Atherinomorus"
"12863","itis","Atherinomorus insularum","Teleostei","Atheriniformes","Atherinidae","Atherinomorus"
"12864","itis","Atherinomorus pinguis",NA,NA,NA,NA
"12865","itis","Atherinomorus vaigiensis","Teleostei","Atheriniformes","Atherinidae","Atherinomorus"
"12866","itis","Atherinosoma elongatum",NA,NA,NA,NA
"12867","itis","Atherinosoma microstoma","Teleostei","Atheriniformes","Atherinidae","Atherinosoma"
"12868","itis","Atherion africanum",NA,NA,NA,NA
"12869","itis","Atherion maccullochi","Teleostei","Atheriniformes","Atherionidae","Atherion"
"12870","itis","Atopocottus tribranchius","Teleostei","Scorpaeniformes","Cottidae","Atopocottus"
"12871","itis","Atractodenchelys phrix","Teleostei","Anguilliformes","Synaphobranchidae","Atractodenchelys"
"12872","itis","Atractodenchelys robinsorum","Teleostei","Anguilliformes","Synaphobranchidae","Atractodenchelys"
"12873","itis","Atrophacanthus japonicus","Teleostei","Tetraodontiformes","Triacanthodidae","Atrophacanthus"
"12874","itis","Atypichthys latus","Teleostei","Perciformes","Kyphosidae","Atypichthys"
"12875","itis","Atypichthys strigatus","Teleostei","Perciformes","Kyphosidae","Atypichthys"
"12876","itis","Auchenoceros punctatus","Teleostei","Gadiformes","Moridae","Auchenoceros"
"12877","itis","Aulastomatomorpha phospherops","Teleostei","Osmeriformes","Alepocephalidae","Aulastomatomorpha"
