"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num","iucn_text"
"113","Gymnothorax vagrans","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(Seale, 1917)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"114","Uropterygius genie","Uropterygius","Muraenidae","Anguilliformes","Teleostei","Randall &amp; Golani, 1995","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1779999924,9,"Data Deficient"
"115","Uropterygius golanii","Uropterygius","Muraenidae","Anguilliformes","Teleostei","McCosker &amp; Smith, 1997","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4529999924,5,"Data Deficient"
"116","Myroconger compressus","Myroconger","Myrocongridae","Anguilliformes","Teleostei","G<fc>nther, 1870","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5379999924,NA,"Data Deficient"
"117","Derilissus nanus","Derilissus","Gobiesocidae","Perciformes","Teleostei","Briggs, 1969","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.01409999967,40,"Data Deficient"
"118","Parioglossus lineatus","Parioglossus","Microdesmidae","Perciformes","Teleostei","Rennis &amp; Hoese, 1985","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA,"Data Deficient"
"119","Sicyopterus macrostetholepis","Sicyopterus","Gobiidae","Perciformes","Teleostei","(Bleeker, 1853)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1030000019,NA,"Data Deficient"
"120","Taenioides cirratus","Taenioides","Gobiidae","Perciformes","Teleostei","(Blyth, 1860)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,3,"Data Deficient"
"121","Kuhlia munda","Kuhlia","Kuhliidae","Perciformes","Teleostei","(De Vis, 1884)","dd",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1339999962,NA,"Data Deficient"
"122","Rhyacichthys guilberti","Rhyacichthys","Rhyacichthyidae","Perciformes","Teleostei","Dingerkus &amp; S<e9>ret, 1992","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.18,2.5,"Data Deficient"
"123","Oneirodes bradburyae","Oneirodes","Oneirodidae","Lophiiformes","Teleostei","Grey, 1956","dd",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA,"Data Deficient"
"124","Eustomias leptobolus","Eustomias","Stomiidae","Stomiiformes","Teleostei","Regan &amp; Trewavas, 1930","dd",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",NA,NA,"Data Deficient"
"125","Sciades passany","Sciades","Ariidae","Siluriformes","Teleostei","(Valenciennes, 1840)","dd",6.2,28.8,7.71957,8,NA,NA,15000,"demersal",1,NA,"Data Deficient"
"126","Rhombosolea retiaria","Rhombosolea","Rhombosoleidae","Pleuronectiformes","Teleostei","Hutton, 1874","dd",2.3,8.3,2.4667,2,NA,NA,NA,"demersal",0.25,NA,"Data Deficient"
"127","Ariosoma anago","Ariosoma","Congridae","Anguilliformes","Teleostei","(Temminck &amp; Schlegel, 1846)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.6,16,"Data Deficient"
"128","Ophichthus leonensis","Ophichthus","Ophichthidae","Anguilliformes","Teleostei","Blache, 1975","dd",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2320000076,NA,"Data Deficient"
"129","Heteroconger tricia","Heteroconger","Congridae","Anguilliformes","Teleostei","Castle &amp; Randall, 1999","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4959999847,NA,"Data Deficient"
"130","Ichthyapus insularis","Ichthyapus","Ophichthidae","Anguilliformes","Teleostei","McCosker, 2004","dd",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4270000076,0.5,"Data Deficient"
"131","Ariosoma obud","Ariosoma","Congridae","Anguilliformes","Teleostei","Herre, 1923","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
"132","Gorgasia sillneri","Gorgasia","Congridae","Anguilliformes","Teleostei","Klausewitz, 1962","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",0.8380000305,NA,"Data Deficient"
"133","Gorgasia inferomaculata","Gorgasia","Congridae","Anguilliformes","Teleostei","(Blache, 1977)","dd",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Data Deficient"
