date,data_src,class,order,family,genus_species,length_m,mature_age,longevity,lat_range,long_range,trophic_level
2013-02-01,fph,Actinopterygii,Perciformes,Bathymasteridae,Ronquilus jordani,0.2,0.1,0,21.958,145,3.1
2013-02-01,fph,Actinopterygii,Perciformes,Cryptacanthodidae,Cryptacanthodes aleutensis,0.3,0.1,0,23.8306,53,3
2013-02-01,fph,Actinopterygii,Perciformes,Embiotocidae,Brachyistius frenatus,0.22,1.1,3.6,21.883,42,3.5
2013-02-01,fph,Actinopterygii,Perciformes,Gobiidae,Rhinogobiops nicholsii,0.15,1.5,5,20.467,13,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus purpurescens,0.2,2.1,7.1,26.1846,58,2.8
2013-02-01,fph,Actinopterygii,Perciformes,Stichaeidae,Lumpenus sagitta,0.51,6.2,25.9,35.5925,51,3.1
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Peristediidae,Satyrichthys amiscus,0.28,3.3,12.3,11.97,2,NA
2013-02-01,fph,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes cortezi,0.255,4.4,16.6,4.7833,5,NA
2013-02-01,fph,Actinopterygii,Perciformes,Labridae,Pteragogus flagellifer,0.2,2.1,7.4,56.55,138,3.5
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus vaiuli,0.1,1.5,4.5,49.342,125,3.1
2013-02-01,fph,Actinopterygii,Notacanthiformes,Notacanthidae,Polyacanthonotus challengeri,0.6,0.1,0,104.6,272,3.2
2013-02-01,fph,Actinopterygii,Perciformes,Pomacanthidae,Chaetodontoplus meredithi,0.25,2,7.4,22.728,11,3
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Dischistodus melanotus,0.16,1.9,6.4,45.51,47,2
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Plectroglyphidodon dickii,0.11,1.5,4.5,56.07,184,3.4
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Pomacentrus amboinensis,0.09,1.3,3.7,47.4281,84,2.4
2013-02-01,fph,Actinopterygii,Perciformes,Pomacentridae,Stegastes fasciolatus,0.15,1.8,6,60.9567,184,2.2
